tf_id	binding_site_id	perturbation_type	split_seed	global_spearman	position_spearman	identity_residual_spearman	identity_pairwise_accuracy
p53	p53	canonical_watson_crick	1311	0.9255319148936171	0.9147058823529413	0.7883195831524098	0.8958333333333334
p53	p53	mismatch	1311	0.9331657075252929	0.8970588235294116	0.8916218886578675	0.8388625592417062
Cbf1	Cbf1	canonical_watson_crick	1312	0.9431145431145431	0.8671328671328673	0.9127413127413129	0.8333333333333334
Cbf1	Cbf1	mismatch	1312	0.9735632183908047	0.9370629370629372	0.9487018728398039	0.8320707070707071
Egr1	Egr1	canonical_watson_crick	1312	0.978893178893179	0.965034965034965	0.9456885456885458	0.9444444444444444
Egr1	Egr1	mismatch	1312	0.9858893979583635	0.9860139860139862	0.9190137448758139	0.8257575757575758
Ets1	Ets1_site_1	canonical_watson_crick	1312	0.9787732043784374	0.9818181818181818	0.9518716577540106	0.7878787878787878
Ets1	Ets1_site_1	mismatch	1312	0.9889066156032765	0.990909090909091	0.9717926241312378	0.8867403314917127
Ets1	Ets1_site_3	canonical_watson_crick	1312	0.8760448133104989	0.3272727272727273	0.6667780748663102	0.6363636363636364
Ets1	Ets1_site_3	mismatch	1312	0.552619728309142	0.36363636363636365	0.5424570329102624	0.6211267605633802
GR	GR	canonical_watson_crick	1312	0.9525691699604741	0.8499999999999999	0.6044795783926218	0.6444444444444445
GR	GR	mismatch	1312	0.9381235409771299	0.9928571428571428	0.8472339681265881	0.795959595959596
Max	Max_site_1	canonical_watson_crick	1312	0.9662805662805664	0.9230769230769231	0.864092664092664	0.8333333333333334
Max	Max_site_1	mismatch	1312	0.962020737882807	0.9860139860139862	0.8762599469496022	0.8143939393939394
Max	Max_site_2	canonical_watson_crick	1312	0.9323037323037324	0.8461538461538463	0.7189189189189189	0.8611111111111112
Max	Max_site_2	mismatch	1312	0.8732595315095429	0.9090909090909092	0.6547504219918013	0.6868686868686869
TBP	TBP_site_1	canonical_watson_crick	1312	0.9394883203559511	0.9878787878787878	0.8896551724137931	0.8
TBP	TBP_site_1	mismatch	1312	0.9627682477949856	0.9636363636363635	0.9178692964789221	0.8469696969696969
TBP	TBP_site_2	canonical_watson_crick	1312	0.9230255839822022	0.9757575757575757	0.9181312569521689	0.8333333333333334
TBP	TBP_site_2	mismatch	1312	0.9599208278352661	0.9878787878787878	0.9226057365094796	0.8666666666666667
p53	p53	canonical_watson_crick	1312	0.9334563612679114	0.9176470588235294	0.8372774641771601	0.875
p53	p53	mismatch	1312	0.9370705429613653	0.9470588235294116	0.8966205951767355	0.8314393939393939
Cbf1	Cbf1	canonical_watson_crick	1313	0.9371943371943372	0.9020979020979022	0.8723294723294724	0.75
Cbf1	Cbf1	mismatch	1313	0.9595611285266459	0.9370629370629372	0.9344023792299655	0.8244949494949495
Egr1	Egr1	canonical_watson_crick	1313	0.9873873873873874	0.9860139860139862	0.890862290862291	0.8611111111111112
Egr1	Egr1	mismatch	1313	0.9841170323928944	0.9860139860139862	0.911642954746403	0.8207070707070707
Ets1	Ets1_site_1	canonical_watson_crick	1313	0.9783571522417727	0.9727272727272729	0.9585561497326204	0.8484848484848485
